Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
2023-0255-THA,2023,0255,,Natural,Meteorological,Storm,Convective storm,Lightning/Thunderstorms,,Thailand,THA,South-Eastern Asia,Asia,"Chiang Mai, Kamphaeng Phet, Lampang, Lamphun, Nakhon Nayok, Nakhon Si Thammarat, Phayao, Phetchabun, Tak, Ubon Ratchathani, and Nong Khai,",,,,,,,,,Kph,,,,,2023,4,23,2023,4,24,,,22200,,22200,,,,,,,,1,2859;2864;2868;2869;2875;2880;2884;2891;2892;2918;2921,,"Chiang Mai, Kampaeng Phet, Lampang, Lamphun, Nakhon Nayok, Nakhon Si Thammarat, Nong Khai, Phayao, Phetchabun, Tak, Ubon Ratchathani (Adm1)."
2023-0418-THA,2023,0418,,Natural,Hydrological,Flood,,,,Thailand,THA,South-Eastern Asia,Asia,"Nan, Chanthaburi, Rayong, Krabi, Phang Nga, Trang, Satun and Nakhon Si Thammarat",Monsoonal rains,,,,,,,,Km2,,,,,2023,7,3,2023,7,5,,,7650,,7650,,,,,,,,1,2858;2867;2880;2881;2889;2902;2910;2920,,"Chanthaburi, Krabi, Nakhon Si Thammarat, Nan, Phangnga, Rayong, Satun, Trang (Adm1)."
2023-0237-TJK,2023,0237,EQ-2023-000043,Natural,Geophysical,Earthquake,Ground movement,,,Tajikistan,TJK,Central Asia,Asia,Sughd province,,,,,,,,5,Richter,39.383,69.881,01:07,,2023,3,23,2023,3,23,,3,2202,,2205,,,,,,,,,,,
2023-0252-TUR,2023,0252,,Natural,Meteorological,Storm,Convective storm,Tornado,,Turkey,TUR,Western Asia,Asia,Pazarcik City (southern Kahramanmaras Province),,,,,,,,,Kph,,,,,2023,4,20,2023,4,20,1,50,504,,554,,,,,,,,,,,
2023-0091-TUR,2023,0091,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,"Defne District (Hatay Province, southern Türkiye)",,,,,,,,6,Richter,36.159,36.034,20:04,,2023,2,20,2023,2,20,6,294,,,294,,,,,,,,,,,
2023-0107-TUR,2023,0107,,Natural,Geophysical,Earthquake,Ground movement,,,Turkey,TUR,Western Asia,Asia,Yesilyurt District (Malatya province),,,,,,,,5,Richter,,,12:04,,2023,2,27,2023,2,27,1,110,,90,200,,,,,,,,2,,28106,Yesilyurt (Adm2).
2023-0141-TUR,2023,0141,,Natural,Hydrological,Flood,,,,Turkey,TUR,Western Asia,Asia,Adiyaman and Sanliurfa provinces,,,,,,,,,Km2,,,,,2023,3,14,2023,3,15,19,,,,,,,,,25000,,,1,3018;3083,,"Adiyaman, Sanliurfa (Adm1)."
2023-0300-TWN,2023,0300,,Natural,Meteorological,Storm,Tropical cyclone,,Typhoon 'Mawar',Taiwan (Province of China),TWN,Eastern Asia,Asia,,,,,,,,,,Kph,,,,,2023,5,29,2023,5,31,1,,,,,,,,,,,,,,,
2023-0450-VNM,2023,0450,,Natural,Meteorological,Storm,Tropical cyclone,,Tropical cyclone 'Talim',Viet Nam,VNM,South-Eastern Asia,Asia,Kien Giang Province,,,,,,,,,Kph,,,,,2023,7,14,2023,7,17,1,3,,,3,,,,,,,,,,,
2023-0384-YEM,2023,0384,FL-2023-000072,Natural,Hydrological,Flood,,,,Yemen,YEM,Western Asia,Asia,"Hajjah, Marib, Hodeidah, Al Bayda, Al Jawf, Sana'a, Amran, Sa’ada, Ibb, Taiz, Dhamar, Shabwa and Al Mahwit governorates",Heavy rains,,,,,,,,Km2,,,,,2023,5,,2023,6,,39,41,168994,,169035,,,,,,,,,,,
